Station code,Name of the Monitoring Location,State Name,Temperature 0 C_min,Temperature 0 C_max,Dissolved Oxygen mg L_min,Dissolved Oxygen mg L_MAX,pH6.5 MIN,pH6.5 MAX,Conductivity µmho cm MIN,conductivity µmho cm MAX,Bio-chemical Oxygen Demand mg L,Bio-chemical Oxygen Demand mg L MAX,Nitrate mg L MIN,Nitrate mgL MAX,Fecal Coliform MIN,Fecacal coliform MAX,Total Coliform MPN 100 mL MIN,Total Coliform MPN 100 mL2 MAX,Year,aquatic_score,water_type,pH_category
4060,RIVER  RAVI  AT  DAM- SITE AT THEIN,JAMMU & KASHMIR,21.0,24.0,7.0,7.8,8.0,8.2,162.0,174.0,2.6251969852689276,5.892971727105102,0.7343646138807429,2.9544753347427766,3538.5852697095434,94402.99494284726,8970.337549488055,206671.80172366623,2022,2,Moderate,Neutral (6.5–8.5)
4061,"RIVER         RAVI         AT LAKHANPUR, 1 KM D/S FROM         MADHOPUR
BRIDGE",JAMMU & KASHMIR,22.0,24.0,7.6,7.6,8.1,8.65,186.0,204.0,2.6251969852689276,5.892971727105102,0.7343646138807429,2.9544753347427766,3538.5852697095434,94402.99494284726,8970.337549488055,206671.80172366623,2022,1,Polluted,Neutral (6.5–8.5)
1088,RIVER   RAVI   AT   U/S MADHOPUR,HIMACHAL PRADESH,13.0,27.0,6.2,9.1,7.13,7.86,161.0,305.0,2.6251969852689276,5.892971727105102,0.7343646138807429,4.41,2.0,22.0,21.0,1600.0,2022,3,Good,Neutral (6.5–8.5)
1089,RIVER        RAVI        U/S CHAMBA,HIMACHAL PRADESH,10.0,18.0,8.4,9.4,7.18,7.94,142.0,248.0,2.6251969852689276,5.892971727105102,0.7343646138807429,2.68,2.0,13.0,17.0,920.0,2022,3,Good,Neutral (6.5–8.5)
2614,"RIVER                       RAVI
CHAMERA-I RESERVOIR",HIMACHAL PRADESH,9.0,19.0,8.7,9.2,6.92,8.09,146.0,334.0,2.6251969852689276,5.892971727105102,0.7343646138807429,3.68,2.0,26.0,21.0,1600.0,2022,3,Good,Neutral (6.5–8.5)
2615,RIVER     RAVI          D/S CHAMERA-     III     HEP DAM,HIMACHAL PRADESH,9.0,18.0,8.6,9.4,7.04,8.31,96.0,216.0,2.6251969852689276,5.892971727105102,0.7343646138807429,3.26,2.0,33.0,21.0,540.0,2022,3,Good,Neutral (6.5–8.5)
2613,RIVER RAVI AT D/S OF CHAMBA TOWN,HIMACHAL PRADESH,10.0,17.0,8.2,9.4,7.24,8.05,154.0,225.0,2.6251969852689276,5.892971727105102,0.7343646138807429,6.06,2.0,84.0,24.0,1600.0,2022,3,Good,Neutral (6.5–8.5)
3873,RIVER   RAVI   U/S   STP AT BHARGA,HIMACHAL PRADESH,10.0,18.0,8.1,9.4,7.13,8.21,136.0,204.0,2.6251969852689276,5.892971727105102,0.7343646138807429,5.19,2.0,22.0,24.0,170.0,2022,3,Good,Neutral (6.5–8.5)
3874,RIVER   RAVI   D/S   STP AT BHAGOT,HIMACHAL PRADESH,10.0,18.0,8.0,9.4,7.2,8.14,128.0,198.0,2.6251969852689276,5.892971727105102,0.7343646138807429,6.94,2.0,33.0,27.0,240.0,2022,3,Good,Neutral (6.5–8.5)
30085,RIVER         RAVI         AT MADHOPUR (PUNJAB),PUNJAB,18.0,24.0,9.1,10.1,8.1,8.3,156.0,200.0,1.2,1.2,0.32,0.52,45.0,23000.0,330.0,110000.0,2022,3,Good,Neutral (6.5–8.5)
